2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/style.css): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/address_book.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/header.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/mass_sending.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/profile.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/reports.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/sending_by_events.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//language/en-gb/extension/module/SigmaMsg.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//language/ru-ru/extension/module/SigmaMsg.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/common/add_user_modal.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/common/customer_by_store_modal.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/common/header.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/datatables/datatables.min.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/datepicker/daterangepicker.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/datepicker/moment.min.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/sending_by_events/api_functions.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/sending_by_events/preview_msg.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/sending_by_events/script.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/bootstrap/bootstrap.min.css): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/datatables/datatables.min.css): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/datepicker/daterangepicker-bs2.css): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/datepicker/daterangepicker-bs3.css): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/fonts/glyphicons-halflings-regular.eot): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/fonts/glyphicons-halflings-regular.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/fonts/glyphicons-halflings-regular.ttf): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/fonts/glyphicons-halflings-regular.woff): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/fonts/glyphicons-halflings-regular.woff2): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/images/sort_asc.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/images/sort_asc_disabled.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/images/sort_both.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/images/sort_desc.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/stylesheet/sigmamsg/images/sort_desc_disabled.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/common/add_user_modal.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/common/customer_by_store_modal.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/template/sigmamsg/common/header.tpl): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:48:52 - PHP Warning:  copy(/var/www/opencart/image//bal-loading.gif): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:48:52 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_language.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:48:52 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_loader.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:48:52 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_style.css): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:48:52 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/jquery/jquery.autopager.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
